step_num,-gneE0,-gneE1,-gneE2,-gneE3
0,1,1,0,1
1,1,1,2,2
2,1,2,2,2
3,2,2,2,2
4,2,4,3,2
5,2,4,3,2
6,3,4,3,3
7,3,5,4,3
8,3,5,4,3
9,3,5,4,3
10,4,6,4,4
11,4,6,3,4
12,5,6,3,4
13,5,6,3,5
14,5,7,3,4
15,5,7,3,4
16,4,7,4,5
17,4,8,4,5
18,4,8,4,4
19,5,8,3,6
20,4,9,3,6
21,3,10,3,7
22,3,10,3,7
23,3,10,3,7
24,3,10,4,8
25,3,11,4,8
26,3,11,4,9
27,4,11,5,10
28,4,12,5,10
29,4,12,5,11
30,5,13,5,12
31,5,14,5,12
32,5,14,6,12
33,6,13,6,12
34,6,14,6,12
35,6,15,6,12
36,8,15,5,12
37,8,15,5,14
38,8,15,4,14
39,9,15,4,14
40,10,16,4,13
41,10,16,5,13
42,11,17,5,12
43,11,17,5,13
44,11,17,4,13
45,10,18,3,13
46,10,19,3,14
47,10,19,3,13
48,10,18,4,13
49,11,18,4,13
50,11,18,4,12
51,11,19,4,12
52,10,19,4,13
53,11,19,4,13
54,11,19,5,13
55,11,19,6,13
56,11,19,6,12
57,12,18,8,11
58,12,19,8,12
59,12,19,8,12
60,12,19,8,12
61,12,19,9,12
62,12,18,9,11
63,11,18,9,12
64,11,18,11,13
65,10,18,10,13
66,10,19,10,13
67,10,19,12,14
68,10,19,12,14
69,10,19,12,14
70,11,19,12,14
71,11,20,11,15
72,10,20,11,15
73,10,20,11,15
74,10,20,10,15
75,10,20,10,15
76,10,21,10,15
77,10,21,9,15
78,10,21,9,15
79,10,21,9,15
80,11,21,10,15
81,10,21,10,15
82,10,21,9,15
83,10,21,9,15
84,10,21,9,15
85,10,22,9,15
86,9,22,9,16
87,9,22,8,16
88,10,22,9,16
89,10,23,10,15
90,10,22,10,15
91,10,22,9,15
92,10,22,10,15
93,10,22,9,15
94,9,22,9,15
95,9,22,10,15
96,9,22,10,15
97,9,21,10,14
98,9,21,11,14
99,8,21,12,14
100,9,21,12,14
101,9,21,12,14
102,9,21,13,13
103,9,21,13,13
104,9,20,13,13
105,9,21,13,13
106,8,21,13,13
107,8,21,14,14
108,8,21,13,14
109,9,21,13,14
110,9,21,14,15
111,9,20,14,15
112,9,20,14,15
113,9,19,14,15
114,9,19,14,15
115,10,20,13,16
116,9,20,13,16
117,9,20,13,15
118,9,20,13,15
119,9,20,13,14
120,9,20,13,14
121,9,20,13,14
122,9,21,14,14
123,9,20,14,14
124,9,20,14,14
125,9,20,13,15
126,10,20,13,15
127,10,21,13,16
128,10,21,13,16
129,11,21,13,16
130,11,21,14,16
131,11,20,14,15
132,12,20,14,15
133,12,19,15,15
134,12,19,15,15
135,12,18,15,16
136,12,18,15,15
137,11,18,14,15
138,11,18,14,15
139,11,19,14,14
140,13,19,14,14
141,12,19,13,15
142,12,19,14,15
143,12,19,15,14
144,12,18,15,14
145,12,17,15,14
146,12,17,16,14
147,12,18,16,14
148,11,18,15,14
149,11,18,15,16
150,11,18,15,16
151,13,17,15,15
152,13,17,15,16
153,13,17,16,16
154,14,17,16,16
155,13,18,16,16
156,13,18,15,16
157,13,19,15,16
158,13,19,15,16
159,13,20,14,16
160,12,20,14,16
161,12,20,14,16
162,12,20,14,16
163,13,20,13,16
164,12,21,13,16
165,12,21,13,15
166,12,20,14,15
167,11,20,13,15
168,11,20,13,15
169,11,20,13,15
170,11,20,13,15
171,12,20,13,15
172,11,21,13,15
173,11,21,14,15
174,12,20,14,15
175,12,20,15,15
176,12,20,15,15
177,11,21,14,15
178,11,21,14,16
179,11,21,14,16
180,12,21,15,16
181,12,21,16,16
182,12,21,16,16
183,12,21,17,16
184,12,21,17,16
185,12,20,17,15
186,13,21,18,15
187,13,21,17,15
188,12,21,17,15
189,13,21,18,16
190,14,21,18,16
191,14,20,19,15
192,14,20,19,15
193,14,19,19,14
194,14,19,19,14
195,13,20,19,14
196,13,20,19,14
197,12,20,19,14
198,13,20,18,14
199,13,20,17,15
200,12,20,18,15
201,12,20,18,15
202,12,20,17,15
203,12,20,17,15
204,11,20,18,15
205,10,21,17,15
206,10,21,17,16
207,10,21,16,16
208,10,21,16,16
209,10,21,16,16
210,10,21,16,16
211,9,21,16,17
212,9,22,16,17
213,9,21,16,17
214,9,21,16,16
215,8,22,16,17
216,8,22,15,17
217,8,22,15,17
218,10,21,16,17
219,9,21,15,17
220,9,21,15,17
221,10,21,15,16
222,11,20,15,16
223,10,20,14,16
224,10,21,14,17
225,10,21,14,17
226,10,21,15,17
227,11,21,15,17
228,11,20,15,18
229,10,20,15,18
230,10,20,14,18
231,10,19,14,17
232,10,19,14,18
233,11,19,15,18
234,10,19,14,18
235,10,19,14,18
236,10,20,14,18
237,11,20,14,18
238,11,20,14,19
239,10,20,14,20
240,10,20,13,20
241,12,20,13,20
242,12,19,13,20
