step_num,-gneE0,-gneE1,-gneE2,-gneE3
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,1.0
11,0.0,0.0,0.0,2.0
12,1.0,0.0,0.0,3.0
13,2.0,0.0,0.0,4.0
14,3.0,0.0,0.0,5.0
15,4.0,0.0,0.0,6.0
16,5.0,1.0,1.0,7.0
17,6.0,0.0,2.0,0.0
18,7.0,0.0,3.0,0.0
19,0.0,0.0,1.0,0.0
20,0.0,0.0,2.0,0.0
21,0.0,0.0,1.0,0.0
22,0.0,1.0,0.0,1.0
23,0.0,0.0,0.0,0.0
24,0.0,1.0,0.0,0.0
25,0.0,2.0,0.0,1.0
26,0.0,4.0,0.0,3.0
27,0.0,2.0,0.0,3.0
28,1.0,1.0,0.0,5.0
29,2.0,1.0,0.0,5.0
30,4.0,0.0,0.0,8.0
31,6.0,1.0,0.0,10.0
32,8.0,3.0,1.0,13.0
33,10.0,4.0,2.0,13.0
34,13.0,3.0,3.0,13.0
35,16.0,4.0,4.0,16.0
36,19.0,6.0,5.0,17.0
37,22.0,8.0,6.0,19.0
38,25.0,11.0,7.0,22.0
39,28.0,9.0,9.0,10.0
40,31.0,10.0,11.0,4.0
41,34.0,9.0,14.0,0.0
42,37.0,7.0,15.0,2.0
43,41.0,11.0,17.0,3.0
44,46.0,11.0,20.0,5.0
45,31.0,15.0,9.0,5.0
46,18.0,18.0,3.0,7.0
47,7.0,16.0,0.0,3.0
48,3.0,12.0,0.0,2.0
49,2.0,4.0,1.0,1.0
50,5.0,4.0,2.0,3.0
51,2.0,1.0,3.0,1.0
52,3.0,2.0,4.0,0.0
53,3.0,2.0,5.0,2.0
54,8.0,5.0,7.0,0.0
55,8.0,5.0,7.0,1.0
56,10.0,6.0,9.0,1.0
57,16.0,2.0,11.0,0.0
58,19.0,0.0,14.0,1.0
59,19.0,0.0,15.0,0.0
60,25.0,1.0,17.0,1.0
61,29.0,3.0,19.0,1.0
62,35.0,0.0,22.0,0.0
63,37.0,4.0,25.0,3.0
64,44.0,2.0,28.0,2.0
65,34.0,3.0,15.0,2.0
66,26.0,4.0,7.0,1.0
67,19.0,4.0,9.0,3.0
68,15.0,6.0,5.0,6.0
69,20.0,8.0,1.0,7.0
70,13.0,12.0,1.0,12.0
71,10.0,14.0,0.0,18.0
72,5.0,21.0,0.0,20.0
73,10.0,25.0,0.0,30.0
74,3.0,31.0,0.0,32.0
75,1.0,37.0,0.0,35.0
76,2.0,45.0,0.0,40.0
