step_num,-gneE0,-gneE1,-gneE2,-gneE3
0,1,1,0,1
1,1,1,1,1
2,1,1,2,2
3,1,2,2,2
4,2,2,2,2
5,2,4,3,2
6,2,4,3,2
7,3,4,3,3
8,3,5,4,3
9,3,5,4,3
10,3,5,4,3
11,4,6,4,4
12,4,6,3,4
13,5,6,3,4
14,4,6,3,5
15,4,8,3,5
16,4,8,2,5
17,4,8,3,6
18,3,8,3,6
19,3,10,2,6
20,4,10,2,8
21,4,11,2,8
22,4,12,3,8
23,3,12,3,9
24,3,14,3,9
25,2,14,3,10
26,2,15,4,10
27,2,16,5,11
28,3,16,4,12
29,3,17,5,12
30,3,17,5,13
31,3,18,4,14
32,3,18,4,14
33,3,18,5,14
34,3,19,5,15
35,4,19,5,15
36,4,20,4,15
37,6,20,4,15
38,6,21,4,17
39,6,21,4,17
40,7,21,3,17
41,8,22,3,17
42,9,22,4,17
43,9,22,3,17
44,9,22,3,18
45,9,22,3,18
46,8,23,3,18
47,8,23,3,19
48,8,23,3,19
49,8,23,4,19
50,9,23,4,19
51,9,23,5,19
52,8,23,5,19
53,8,23,4,20
54,9,24,4,20
55,9,24,4,20
56,9,24,6,20
57,9,24,6,20
58,10,24,6,20
59,10,24,6,20
60,10,23,8,19
61,10,23,8,19
62,11,23,8,19
63,11,23,9,19
64,11,22,9,19
65,11,22,10,20
66,11,22,11,19
67,11,22,11,19
68,12,21,12,19
69,12,21,12,20
70,12,21,13,20
71,12,20,14,20
72,12,20,14,20
73,12,20,14,19
74,12,19,14,19
75,12,19,14,19
76,12,19,14,19
77,12,19,15,19
78,12,19,15,18
79,12,19,15,18
80,12,19,16,18
81,13,19,17,17
82,13,19,17,17
83,13,20,17,18
84,13,19,17,18
85,13,19,17,17
86,13,18,18,17
87,13,19,18,18
88,13,19,18,18
89,13,19,19,18
90,13,18,20,17
91,13,18,20,18
92,13,18,20,18
93,14,19,20,17
94,14,19,20,17
95,14,18,20,17
96,14,18,20,17
97,14,17,20,16
98,14,17,20,17
99,14,18,21,17
100,14,17,21,16
101,14,17,21,17
102,14,16,21,17
103,14,16,21,16
104,14,17,21,16
105,14,17,21,16
106,14,16,21,15
107,14,16,21,15
108,14,15,22,16
109,14,16,22,15
110,15,16,22,16
111,15,17,22,15
112,15,16,22,16
113,15,16,22,16
114,15,17,22,15
115,15,16,22,15
116,15,17,22,15
117,15,17,22,16
118,15,16,22,16
119,15,17,22,16
120,14,17,21,16
121,14,17,21,16
122,14,17,21,16
123,14,18,22,16
124,14,18,21,16
125,14,18,21,16
126,14,19,21,17
127,14,19,21,17
128,14,19,21,17
129,14,20,21,17
130,15,20,21,17
131,14,20,20,17
132,14,21,20,17
133,13,21,20,17
134,13,21,20,17
135,13,21,20,17
136,13,22,20,18
137,12,22,19,18
138,12,22,19,18
139,11,22,19,18
140,11,22,20,18
141,12,23,19,18
142,13,23,19,19
143,13,23,19,19
144,12,23,18,19
145,12,23,18,19
146,12,23,19,20
147,11,23,18,20
148,11,24,18,20
149,10,24,18,20
150,10,24,17,21
151,10,24,17,21
152,11,24,17,21
153,11,24,18,22
154,10,24,18,22
155,11,24,17,22
156,12,24,17,22
157,11,24,18,22
158,11,24,17,22
159,12,24,17,22
160,11,24,17,22
161,11,24,17,22
162,11,24,17,22
163,11,24,17,22
164,12,24,16,22
165,11,24,17,22
166,12,24,17,22
167,12,24,16,22
168,11,24,16,22
169,12,24,16,22
170,12,24,16,22
171,12,24,16,22
172,12,24,17,22
173,12,24,16,22
174,13,24,16,23
175,12,24,16,23
176,12,24,17,23
177,12,24,16,24
178,12,24,16,24
179,12,24,17,24
180,12,23,17,23
181,13,23,17,23
182,13,23,17,23
183,13,23,18,23
184,13,22,18,23
185,13,22,18,23
186,13,22,19,22
187,14,22,19,22
188,14,21,19,22
189,14,21,19,22
190,15,21,20,22
191,15,21,20,21
192,15,21,20,21
193,15,21,20,21
194,15,21,20,20
195,15,21,21,20
196,15,20,21,20
197,15,20,21,20
198,15,20,22,19
199,16,20,22,19
200,16,20,22,18
201,16,21,22,18
202,16,21,22,18
203,16,20,22,18
204,16,20,22,17
205,16,20,23,17
206,16,19,23,18
207,16,19,23,18
208,16,19,23,18
209,17,18,23,18
210,17,18,23,17
211,17,18,24,17
212,17,18,24,18
213,17,18,24,18
214,17,18,24,17
215,17,17,24,17
216,17,18,24,18
217,17,18,24,18
218,17,18,24,17
219,18,18,24,18
220,18,17,24,18
221,18,18,24,18
222,19,18,24,17
223,19,18,24,18
224,19,17,24,18
225,19,17,24,18
226,19,17,24,17
227,19,16,24,17
228,19,17,24,17
229,19,17,24,18
230,19,17,24,18
