step_num,-gneE0,-gneE1,-gneE2,-gneE3
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,1.0,0.0,0.0,0.0
14,2.0,0.0,0.0,0.0
15,3.0,0.0,0.0,0.0
16,4.0,1.0,0.0,1.0
17,5.0,3.0,1.0,3.0
18,6.0,5.0,2.0,5.0
19,7.0,7.0,3.0,7.0
20,8.0,11.0,4.0,9.0
21,9.0,15.0,5.0,12.0
22,10.0,19.0,6.0,15.0
23,11.0,24.0,7.0,18.0
24,12.0,29.0,8.0,21.0
25,13.0,34.0,9.0,24.0
26,14.0,39.0,10.0,28.0
27,15.0,44.0,11.0,32.0
28,16.0,50.0,12.0,36.0
29,17.0,57.0,13.0,41.0
30,0.0,64.0,0.0,46.0
31,0.0,72.0,0.0,51.0
32,0.0,74.0,0.0,57.0
33,0.0,82.0,0.0,63.0
34,1.0,90.0,0.0,69.0
35,2.0,101.0,0.0,77.0
36,3.0,109.0,0.0,85.0
37,4.0,121.0,0.0,94.0
38,5.0,131.0,0.0,101.0
39,6.0,143.0,0.0,111.0
40,7.0,154.0,1.0,122.0
41,8.0,167.0,0.0,133.0
42,9.0,182.0,1.0,144.0
43,10.0,198.0,2.0,156.0
44,11.0,213.0,3.0,166.0
45,13.0,228.0,4.0,178.0
46,15.0,244.0,5.0,191.0
47,17.0,262.0,6.0,204.0
48,19.0,280.0,7.0,217.0
49,21.0,296.0,8.0,232.0
50,23.0,314.0,10.0,246.0
51,27.0,332.0,10.0,260.0
52,30.0,351.0,12.0,274.0
53,34.0,371.0,14.0,291.0
54,39.0,391.0,16.0,306.0
55,45.0,412.0,18.0,323.0
56,47.0,433.0,20.0,340.0
57,53.0,451.0,22.0,360.0
58,56.0,472.0,24.0,378.0
59,63.0,493.0,26.0,393.0
60,70.0,471.0,28.0,365.0
61,77.0,452.0,31.0,346.0
62,84.0,431.0,34.0,364.0
63,92.0,451.0,37.0,347.0
64,98.0,431.0,40.0,331.0
65,106.0,448.0,44.0,347.0
66,114.0,434.0,46.0,331.0
67,122.0,420.0,49.0,317.0
68,131.0,405.0,53.0,302.0
69,139.0,423.0,57.0,316.0
70,147.0,441.0,61.0,302.0
71,157.0,426.0,66.0,314.0
72,167.0,442.0,71.0,305.0
73,174.0,459.0,74.0,316.0
74,184.0,443.0,80.0,312.0
75,196.0,423.0,87.0,308.0
76,200.0,437.0,95.0,318.0
